9781938340840,1,Training for the Uphill Athlete,"['Steve House', 'Scott Johnston', 'Kilian Jornet']",2019-03-12,368,"{'smallThumbnail': 'http://books.google.com/books/content?id=viKytQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=viKytQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780898868388,1,Cascade Alpine Guide,['Fred Beckey'],2000,404,"{'smallThumbnail': 'http://books.google.com/books/content?id=-ukAUElJXPIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=-ukAUElJXPIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}"
9780762790043,1,Rock Climbing: The AMGA Single Pitch Manual,"['Bob Gaines', 'Jason D. Martin']",2014-05-20,0,"{'smallThumbnail': 'http://books.google.com/books/content?id=W1-htAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=W1-htAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780976538226,1,Rockin' on the Rock,['Dallas Kloke'],2013-07-08,191,
9781594859199,1,"Snowshoe Routes, Washington",['Dan Nelson'],2015,0,"{'smallThumbnail': 'http://books.google.com/books/content?id=4j0drgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=4j0drgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780898867152,1,50 Trail Runs in Washington,['Cheri Pompeo Gillis'],2002,244,"{'smallThumbnail': 'http://books.google.com/books/content?id=octzs-WPJKQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=octzs-WPJKQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}"
9780898861532,1,100 Hikes in Washington's North Cascades National Park Region,"['Ira Spring', 'Harvey Manning']",1988-09-01,240,
9780898862065,1,Olympic Mountains,['Olympic Mountain Rescue'],2006,372,"{'smallThumbnail': 'http://books.google.com/books/content?id=b77jKkVpgmgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=b77jKkVpgmgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}"
9781594856563,1,Backcountry Ski and Snowboard Routes: Washington,['Martin Volken'],2014,349,"{'smallThumbnail': 'http://books.google.com/books/content?id=IFQOmAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=IFQOmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780983322528,1,Washington Pass Climbing,['SuperTopo'],2012-09-01,248,
9780898869842,1,Weekend Rock Washington,['David Whitelaw'],2006-01-15,320,"{'smallThumbnail': 'http://books.google.com/books/content?id=7m3moubpqwUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=7m3moubpqwUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}"
9780762777969,1,Best Climbs Cascade Volcanoes,['Jeff Smoot'],2012,0,"{'smallThumbnail': 'http://books.google.com/books/content?id=eej2ygAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=eej2ygAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9781892540355,1,Creak Freak,['Karl Kelley'],2018,448,
9780999855607,1,The American Alpine Journal 2018,['American Alpine Club'],2018-09,0,"{'smallThumbnail': 'http://books.google.com/books/content?id=-SFyswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=-SFyswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780966577723,1,Technical Rescue Riggers Guide ISBN,['rick Lipke'],2017-11-10,220,"{'smallThumbnail': 'http://books.google.com/books/content?id=80B7swEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=80B7swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9781936913664,1,Wildflowers of Washington's Cascades and Olympic Mountains,"['Daniel Mathews', 'Quick Reference Publishing']",2014-01-01,12,"{'smallThumbnail': 'http://books.google.com/books/content?id=RS0ongEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=RS0ongEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9781733487504,1,Free Outside,['Jeff Garmire'],2019-09-03,264,"{'smallThumbnail': 'http://books.google.com/books/content?id=zP5-yQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=zP5-yQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9781892540188,1,The Index Town Walls,"['Chris Kalman', 'Matthew Van Biene']",2017-09-17,,
9780692879276,1,Snoqualmie Rock,['Kurt Hicks'],2018-06,336,"{'smallThumbnail': 'http://books.google.com/books/content?id=yApdtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=yApdtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9781680511383,1,Staying Alive in Avalanche Terrain,['Bruce Tremper'],2018,0,"{'smallThumbnail': 'http://books.google.com/books/content?id=QvqpswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=QvqpswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780898868098,1,The Avalanche Handbook,"['David McClung', 'Peter A. Schaerer']",2006,350,"{'smallThumbnail': 'http://books.google.com/books/content?id=0Bpscs7Gqb8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=0Bpscs7Gqb8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}"
9781594859786,1,100 Classic Hikes,['Craig Romano'],2016,0,"{'smallThumbnail': 'http://books.google.com/books/content?id=YKxBjgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=YKxBjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780989515658,1,The Crack Climber's Technique Manual,['Kent Pease'],2015,208,
9781493025145,1,The Mountain Guide Manual,"['Marc Chauvin', 'Rob Coppolillo']",2017,0,"{'smallThumbnail': 'http://books.google.com/books/content?id=DYNSvgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=DYNSvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780898868197,1,Mountain Weather,['Jeff Renner'],2005,307,"{'smallThumbnail': 'http://books.google.com/books/content?id=lo4gnwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=lo4gnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}"
9780898869460,1,Washington Ice,"['Jason D. Martin', 'Alex Krawarik']",2003,256,"{'smallThumbnail': 'http://books.google.com/books/content?id=2Jf8X-26pjMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=2Jf8X-26pjMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}"
9780991216062,1,Backcountry Skiing Baker and Shuksan,['Matthew Schonwald'],2017-11,50,
9780578482712,1,Frenchman Coulee,"['Brendan Sullivan', 'Jim Yoder']",2019,300,
0000000000000,1,Leavenworth Rock,['Viktor Kramar'],2018,368

